a_b	a_c	b_d	c_d
You could do this.	I think I could do the same thing.	I believe that I could do that.	I believe I can do that.
I'm on the toilet.	He's in the toilet.	I am on the toilet.	He's still in the bathroom.
You could go home.	You might as well go home.	You can go home if you like.	You can go home if you want to.
You do a good job.	You do a great job here.	You've been doing a great job.	You've done a good job here.
You do a nice job.	You're doing a good job.	You're doing a good job so far.	You're doing that very well.
We'll just go now.	We'll go now if you're ready.	If you wait a few minutes, I'll go with you.	I'll wait here until you're ready to leave.
We'll go with you.	Of course we'll go with you.	I'll be only too glad to go with you.	I'd love to go with you.
Ziri is a student.	Ziri is a serious student.	Ziri was focused on his studies.	Ziri's studies were his main priority.
We'll do the rest.	You do your part and I'll do the rest.	I'll handle the rest.	Let me handle everything, will you?
What is wrong now?	What's wrong? What happened?	Could you please tell me what's wrong?	What's wrong? What's happened?
Wait here, please.	Please wait here a minute.	Please wait ten minutes.	Please wait two minutes.
We'll do our part.	We've already done our part.	We've done way too much already.	We've already done everything we have to do.
That must be hard.	It must be hard for you.	I know this must be hard for you.	It must be hard for you, I know.
Ziri is a trainer.	Ziri has been practicing.	Ziri has some talent.	Ziri had an exceptional talent.
That must be nice.	That feels very nice.	It's a great feeling.	It's a nice feeling.
Ziri is a flutist.	Ziri has a talent.	Ziri has been practicing.	Ziri needs a little practise.
Ziri is a florist.	Ziri is a concierge.	Ziri is a salesman.	Ziri became a salesman.
We can both do it.	I can do that, too.	I'm capable of doing that.	I'm capable of doing that myself.
We can do nothing.	We can do nothing for him.	We can't do anything for Tom.	I can't do anything for Tom.
Is this that hard?	Is this a challenge?	How hard can this possibly be?	The challenge is accepted.
We could do worse.	It could be much worse.	It could get worse.	It couldn't get any worse.
We must leave you.	I have to leave you.	We have to leave now.	You have to leave now.
It's just so hard.	It really is difficult.	It seems difficult.	It sure is difficult.
Ziri is a laborer.	He is a hard worker.	He's industrious and hardworking.	He works hard and he is honest.
We must wait here.	You guys wait here.	Everyone's waiting.	Everyone is waiting for us.
Ziri is a bellhop.	Ziri is a salesman.	Ziri has a few tricks up his sleeves when he tries to sell something.	Ziri is an auctioneer.
Ziri is a bellboy.	Ziri is no ordinary boy.	Ziri is just a man.	Ziri is already a man.
We rented a movie.	We went to the movies.	Last night, we went to the theater.	We went to the movies last night.
You must help Tom.	I have to help Tom.	I think I need to help Tom.	I'm going to have to help Tom.
We should ask Tom.	Maybe we ought to ask Tom.	Well, why don't we just ask Tom?	Maybe we should ask Tom?
You must save Tom.	You're the only one who can save Tom.	I'm the only one who can stop Tom.	You're the only one who can save Tom, aren't you?
We should both go.	I think we should go.	I think we'd better be going.	We really should be going.
Ziri is a builder.	Ziri is a contractor.	Ziri is a bricklayer.	Ziri is a factory worker.
You must see this.	You need to see this.	I need you to see this.	I need you to take a look at this.
Ken came up to me.	Ken has been looking for you.	Everybody has been looking for you.	We've been searching for you.
You must try this.	I recommend you try it this way.	I don't think you should spend any more time trying to do that.	I don't think that I can help you do that.
Ziri is very fast.	Ziri was athletic.	Ziri was one of the best players.	Ziri played soccer.
We must turn back.	We're going to have to turn back.	We need to get back before it gets too late.	We need to get back home.
Tom looked sleepy.	Tom seemed to be sleepy.	Tom said he was sleepy.	Tom said that he was really sleepy.
Tom must be bored.	Tom must be bored half to death.	I think that Tom is bored.	I suspect Tom is bored.
Ziri is a dustman.	Ziri is a drifter.	Ziri has a new hobby.	Ziri is feeling creative.
Tom is making jam.	Mary is making jam.	Tom tried the strawberry jam that Mary made.	Mary said that she enjoyed the food.
Tom is meticulous.	Tom is very diligent.	Tom is very dedicated to his work.	Tom is very hard working.
Tom is used to it.	Tom is used to this kind of situation.	Tom seemed to be used to these kinds of problems.	Tom is used to these kinds of situations.
Tom is way behind.	Tom is pretty late.	Tom may be a few minutes late.	There's a possibility that Tom will be late.
My face was dirty.	The side of my body was all dirty.	I washed my hands because they were dirty.	I wanted to wash my hands.
Tom isn't invited.	Tom wasn't invited by us.	Tom wasn't with us.	Tom didn't stay with us.
Tom looked drowsy.	Tom looked very tired.	Tom looks very tired.	Tom still looks very tired.
Tom won't be sued.	Tom won't go to jail.	Tom won't be punished.	Tom won't be locked up.
I barely know him.	I don't really know him.	I didn't know him very well.	I didn't know him at the time.
I barely know her.	I barely knew her.	I didn't know her then.	I had never seen her before that time.
Tom's car's dirty.	Tom's car needs to be washed.	I want Tom to wash the car.	Tom should wash his car.
We only take cash.	We don't take credit cards.	I'm sorry, we don't accept checks.	No personal checks will be accepted.
My car broke down.	My car was totaled.	The car broke down and I brought it to the garage to get fixed.	My car is now being repaired.
Let's do that now.	Let's do that today.	I think we need to do that today.	I think you know we need to do that today.
You're badly hurt.	I'm not hurt badly.	I didn't mean for you to get hurt.	I don't want you getting hurt because of me.
It's a rental car.	Is this your car or are you just renting it?	Does this car belong to you?!	Is that car yours?
Last week was hot.	This week was nice.	Last week was cold.	It's been cold all week.
It was a cool day.	It is a little cool today.	It's chillier today.	It feels warmer today.
Is that difficult?	Is that hard to do?	Was it easy for you to do that?	It wasn't easy for you to do that, was it?
I'm not a bad guy.	I'm one of the good guys.	Are you a good man?	Now tell me, are you a good person?
I'll do that, too.	I'll do that myself.	I'll do that right now.	I'll do that today.
Keep him occupied.	Give him something to eat.	Give him a dollar.	Bring him a drink.
I'll do that soon.	I'm going to do that soon.	I'm going to do that tomorrow.	I'm going to do that today.
I'd do that again.	I'd do that again if I had the chance to.	I'd do it again in a second.	I'd do that again if I had the chance.
I was brainwashed.	He claimed he'd been brainwashed.	He said he was disillusioned with Christianity.	He said that he was an agnostic.
I want to take it.	We want you to take it.	You'd better take it.	Please just take it.
I want to sell it.	I will sell it as soon as I find a buyer.	Will you sell that, too?	Would you sell this to me?
Tom is just lucky.	Tom is incredibly lucky.	Tom is a lucky bastard.	Tom is a lucky man.
Tom is in the car.	Tom is in the passenger seat.	Tom was behind the wheel.	Tom was is in the passenger seat.
Tom is fine today.	Tom is fine for the moment.	Tom seems to be feeling fine.	Tom seems to be all right.
Tom doesn't snore.	I don't think Tom snores.	Who told you Tom snored?	I wonder whether Tom snores.
It's frozen solid.	Water is liquid. It becomes solid when it freezes.	Water expands when it freezes.	When water freezes it becomes ice.
We're on vacation.	We're enjoying our vacation.	Are you vacationing here?	Are you enjoying your stay here?
I can go by train.	You can get there by train.	It would be better if you went by train.	I recommend you to go by train.
My phone is heavy.	My suitcase is very heavy.	My bag is very heavy.	My suitcases are too heavy.
Tom was medicated.	Tom took his medicine.	Tom ought to take his medication.	Tom needs his medicine.
We seldom do that.	We seldom do that here.	We don't always do that.	We don't do that very often.
We often go there.	From time to time I go there.	I've often been there.	I've been there many times.
We can study here.	You and I should study together.	I'd better go study.	I've got to go home and study.
That's a cute dog.	That puppy is so adorable.	That kitty is so cute!	That cat is so cute.
Are you a tourist?	I'm here as a tourist.	Now is tourist season.	Many tourists come here.
Please be on time.	Please make sure you get here on time.	Please try your best to not be late.	Make sure you get here on time.
My shirt is dirty.	My new shirt is already dirty.	I think it's time for me to wash this shirt.	This shirt must go to the laundry.
My plan is simple.	I'll tell you my plan.	I have part of a plan.	I've already got plans.
Ziri is a trucker.	Ziri is a delivery driver.	Ziri is an elevator operator.	Ziri is a shop assistant.
Ziri became a CEO.	Ziri became a general manager.	Ziri became a marketing director.	Ziri became an assistant manager.
Does Tom eat fish?	Does Tom like salmon?	Does Tom like peas?	Does Tom like pears?
Has Tom gone home?	Has Tom left already?	Are you sure Tom left?	As far as I know, Tom hasn't left yet.
I can't bend over.	I've been bending over backwards.	I can't straighten out my back.	Straighten your spine.
My leg was broken.	I broke my right leg.	I dislocated my knee.	I fell down the stairs and broke one of my legs.
I can't work here.	I can't continue working here.	I don't want to work anymore.	I don't want to stay here any longer.
I don't like rain.	I don't like rainy days.	Rainy days make me depressed.	When it rains, I get depressed.
I like big cities.	Do you like cities?	Have you ever lived in a big city?	Do you like the city?
I missed you, too.	I missed you terribly.	I've missed you so much.	We've missed you so much.
I still feel weak.	I'm really weak now.	You're still weak.	I'm pretty weak right now.
I'd like a refund.	I'll send you a refund.	You should request a refund.	Leave it to me; I'll see to it that you get a full refund.
I'll go by subway.	I want to get there by subway.	Where is the closest subway station?	Where is the closest train station?
Snakes terrify me.	I'm afraid of snakes.	I have a deathly fear of reptiles.	I have a terrible fear of snakes.
Tom blushed again.	Tom began to blush.	Tom looked at Mary and blushed.	Tom blushed when he saw Mary looking at him.
Does Tom eat eggs?	What does Tom eat?	What does Tom eat when he's watching TV?	What is Tom eating?
This is very good.	This is good, really good.	This is pretty good, isn't it?	This is kind of nice, don't you think?
I want to keep it.	I'd be happy to keep it.	I would like to keep this.	I'll keep this for you.
I want to be last.	I didn't want to be last.	I took my place at the end of the line.	I was the third person in line.
How late were you?	How late did you stay at the party?	When was the last time you went to a party?	Tell me about the party.
Did you draw this?	Were you the one who drew this picture?	Is this one of your drawings?	Is this one of your creations?
Ziri is a glazier.	Ziri is experienced.	Ziri is working hard.	Ziri had work to do.
Is this your book?	Isn't that my book?	This isn't your book. It's mine.	That book isn't mine.
This is your book.	This book is yours.	I'll give you this book for free.	I'll give you this book.
Is that your room?	Is this your apartment?	Is the apartment across from yours still vacant?	There is an apartment house near my house.
Ziri is a chemist.	Ziri is a physicist.	Ziri is a technician.	Ziri is an electrician.
Ziri is a brickie.	Ziri is a son of a bitch.	Ziri behaves badly.	Ziri is very disrespectful.
Tom's still a kid.	Tom is still just a child.	Tom is still a baby.	Tom's not a baby anymore.
Tom's dog is cute.	Tom has an adorable dog.	Tom has his dog with him.	Tom's dog was with him.
He pinched my arm.	He grabbed my ass.	Someone grabbed me from behind.	He grabbed me by the neck.
Tom won't be here.	Tom won't be there.	I suspect that Tom won't be coming.	Tom probably won't be there.
Tom won the prize.	Tom won one of the prizes.	How many prizes did Tom win?	Tom has won numerous other prizes.
I can do that now.	I can do that already.	I can do that as well.	I'm able to do that as well.
Tom will be tired.	Tom is likely to be tired.	Tom might not be tired.	Tom is probably not tired.
Tom will be early.	Tom should be early.	Tom won't be early.	I think Tom won't be early.
Tom will be alone.	Tom will probably be alone.	Tom is going to be alone, isn't he?	I don't think that Tom will be alone.
Tom wasn't killed.	Tom wasn't executed.	Tom didn't kill anyone.	Tom didn't kill his wife and children.
You can't beat AI.	You can't beat everyone.	You can not win without someone losing.	The important thing is not to win, but that the other loses.
Tom was organized.	Tom is likely to be organized.	Tom used to be organized.	Tom is pretty organized.
Tom was objective.	Tom is likely to be objective.	I doubt if Tom will be objective.	Tom will likely be objective.
Tom was incorrect.	Tom is wrong about this.	It seems Tom is wrong.	I'm pretty sure Tom is wrong.
Tom taught French.	Tom was teaching French.	Tom is a teacher of French.	Tom is able to teach French.
Ziri is a realtor.	Ziri is a sales representative.	Ziri is the store manager.	Ziri is a sales assistant.
Tom seems wealthy.	I think Tom is wealthy.	It seems Tom is rich.	I think that Tom is rich.
Tom seemed hungry.	Tom was starting to feel hungry.	Tom said that he was getting hungry.	Tom was beginning to feel hungry.
Tom said he's shy.	Tom told me that he's shy.	Tom is a very shy guy.	I know that Tom is a very shy boy.
Tom must be broke.	Tom must've been broke.	I wonder whether Tom is broke.	I wonder whether Tom is really broke.
I've seen you cry.	I've seen Tom cry.	That was the first time that I'd ever seen Tom cry.	I don't think I've ever seen Tom cry.
Is this Mr Crouch?	Is that who I think it is?	Do you recognise the person in this picture?	Do you recognize that woman?
Is this your bike?	Is that your bicycle?	This bicycle is yours, isn't it?	That bicycle isn't yours.
The room is dusky.	The room is very dark.	The room was dusky.	The hallway was very dark.
I want a good job.	I'd like to find a job that I enjoy doing.	Where do you want to work?	What kind of work do you like?
I seldom eat fish.	I don't like fish very much.	He doesn't like to eat fish.	Tom doesn't really like fish.
I saw you do that.	I've seen you do it before.	I've heard you talk about this before.	We've talked about this before.
I sat in the back.	I sat in the back today.	Let's sit in the back today.	Let me sit in the back.
I prefer red wine.	I like red wine much more than white wine.	Do you prefer red wine or white wine?	Do you prefer red wine to white wine?
I love doing that.	I really like doing that.	I've liked doing that since I was a kid.	I've been doing that since I was a kid.
Whose is this bag?	Who's bag is this for?	The shopping bag that they're carrying.	What are you carrying there?
I hate all of you.	Everybody knows I hate you.	I know most people here hate me.	I know that you probably hate me.
He was nice to me.	He was very kind to me at the party.	He went out of his way to help me when I was in trouble.	He is always kind enough to help me any time.
I don't want pity.	I don't want sympathy.	You have no sympathy.	I'm not looking for your sympathy.
I want to want it.	I don't know why I want it so much.	Why don't you want it?	Are you sure you don't want it?
I don't often cry.	I almost never cry.	I cry almost every day.	I cry myself to sleep every day.
I don't like jazz.	I can't figure out why you don't like jazz.	Modern jazz is not to my taste.	Does jazz hold any appeal for you?
I could eat a cow.	I could eat a horse, and that's not hyperbole.	My cat eats like a horse.	He was eating like a horse.
I don't like golf.	I can't stand golf.	I don't feel like playing golf.	I don't want to play golf.
I didn't get sick.	I tend not to get sick.	I have not been sick for the past ten years.	I hardly ever get sick.
I didn't get rich.	I'm not rich, nor do I wish to be.	I'm not rich enough.	I'm not rich and I don't really want to be.
The soldiers died.	The soldiers are dead.	Old soldiers never die. They just fade away.	Wars come and go, but soldiers stay eternal.
That was positive.	You received a positive reaction.	I really felt good.	It made me feel very happy.
I didn't get paid.	They didn't pay me.	They didn't pay me very much to do that.	They didn't pay me as much as they said they would.
I didn't disagree.	I didn't immediately agree.	We had a slight difference of opinion.	I didn't agree right away.
I didn't call 911.	I'm the one who called 911.	I wasn't the one who yelled for help.	I'm the one who needs help.
I did that easily.	Doing that was easier than I expected.	Doing that was pretty easy.	Doing that was really easy.
I can't stand you.	I can't stand people like you.	I can't stand your behavior anymore.	I am sick of your behavior.
I can't stand rap.	I can't stand punk rock.	I don't like that genre.	I don't like punk rock at all.
I can't cook well.	I don't know how to cook very well.	I'm not a good cook.	I'm afraid I'm not much of a cook.
The sky was dusky.	The sky turned dark.	All of a sudden it became dark.	Suddenly the sky grew dark.
I can hardly move.	I could hardly move my legs.	I can't move my leg.	I can't move my right leg.
Ziri is uninjured.	Ziri feels no pain.	Ziri has no problems.	Ziri never complains.
Don't be so brash.	Don't be so impetuous.	Don't be stubborn like that.	Stop being so stubborn.
Charge it, please.	My charger is broken.	I need to charge it.	I've lost the charger for my mobile.
We'll change cars.	I think that it's time for us to buy a new car.	I think it's time for an oil change.	It's time for you to buy a new car.
Ziri was an adult.	Ziri is not a child anymore.	Ziri is just fourteen.	Ziri is probably fourteen years old.
Take the next bus.	Ask the driver to stop at the next bus stop.	You'd better wait for the next bus.	You would do well to make sure when the next bus starts.
Take the next one.	You get the next one.	It's your turn next.	You'll get your turn.
We're watching TV.	They're watching TV.	Children like to watch TV.	They were watching television.
This is too salty.	This is too sweet and that is too salty.	This lollipop is too sweet.	It's way too sweet.
This is a reissue.	This edition is limited.	Our inventory is very limited.	Resources are limited.
We're sure to win.	We're going to win.	There's a good chance that we'll win.	There's a possibility we might win.
Tom rides a moped.	Tom has a motorcycle.	Tom plans to buy a new motorcycle.	Tom has a new motorcycle.
Can I say it here?	Do you say that here?	How could you say something like that?	How can you say such a thing?
Just call me Ziri.	They call me Big Ziri.	You're a big person.	You're as big as me.
We've done it all.	We've done all we can.	We did all we could.	We did the best we could.
That was so funny.	That was hilarious.	I think that was very funny.	That was hysterical.
We've got a canoe.	Is there room in your canoe for me?	Can you give me a boat?	Do you want to see my boat?
That would be fun.	That might be fun.	That ought to be fun.	Doing that should be fun.
We've got to hide.	We need to get down and hide.	We need to take cover.	Duck and take cover.
Ziri is disgusted.	Ziri looked irritated.	Ziri was disturbed.	Ziri looked a bit angry.
We've all seen it.	We've seen it, too.	We've heard it before.	We've seen it before.
We've got the key.	I'm looking for the key.	I'm looking for my keys.	I've been trying to find my keys.
Cool fall is here.	Autumn is almost here.	It has become quite autumnal.	The autumn is here.
That's bad news...	This isn't good news.	That's really bad news.	The news isn't all good.
Mine are the best.	I think those are the best.	I highly recommend them.	I would definitely recommend it.
That's not so bad.	That's not altogether bad.	That's pretty bad.	That's not very good.
She isn't perfect.	She has faults, too.	She has a character defect.	She has only one flaw.
She's not perfect.	She has many faults.	She isn't perfect.	She is a beauty, admittedly, but she has her faults.
Say no more, Ziri.	Get out of here, Ziri.	Let's get you out of here.	Let's just get out of here.
Ziri is so lovely.	Ziri is such a pretty name.	Ziri's son is so beautiful.	Ziri's daughter is so beautiful.
Tom called me fat.	Tom told me I was overweight.	Tom told me that he thought I should go on a diet.	Tom told me he thought I should lose some weight.
Somehow, Tom knew.	I knew Tom knew something.	I knew Tom had done that.	I knew that Tom was doing that.
We're busy people.	We know you're busy people.	I know that you're busy, too.	I know that you're busy.
Shut up, will you?	Will you shut up already?	Can you just shut up, please?	Could you please shut up?
Shut up and do it.	Why don't you just do it?	Just do it because I say so.	Why don't you do it?
We'll take my car.	You shall have my car.	Please lend me your car.	Can you lend me your car, as a favor?
Just take my hand.	Give me your hand.	Can you hold my hand?	Do you want me to hold your hand?
We'll play a game.	Do you guys want to play a game?	Let's play something.	Do you want to play something?
We'll be right in.	We'll be right there.	We'll be right with you.	We'll be right behind you.
We'll toss for it.	You win the toss. The ball is in your court this time.	Now the ball is in your court!	You have no choice in this matter.
We'll look for it.	If it's there, I'll find it.	I think you'll find it.	You might not find it.
We'll just try it.	The only thing we can do is try it.	Just give it a try.	Just give it a chance.
We'll flip for it.	We'll give it back.	We're going to get them back.	I'm sure that they'll come back for us.
Take a chill pill.	Take your medicine.	Don't forget to take your medication.	Take your medication.
Maybe we can help.	We may be able to help.	Maybe you can help us.	Maybe we can help you.
My car's out back.	My car is in the parking lot.	My car is parked not far from here.	My car is parked outside.
I'll shut you out.	We'll leave you alone.	Please leave us alone.	Please just leave us alone.
We'll be too late.	We may be too late.	We're going to be too late again.	I think we're too late.
Ziri is gonna win.	Ziri will do his best.	Ziri will go there.	Ziri needs to start there.
We'll take a look.	We'd better take a look.	You should take a look.	I think you should take a look.
We'll sort it out.	We'll figure things out.	I hope we can figure this out.	We have to figure something out.
No one knows that.	No one knows anything about that.	I know nothing about this matter.	I don't know anything about this topic.
We'll see to that.	We'll make sure we do that.	I think we have to do that.	I think we ought to do that.
Ziri is a big guy.	Ziri is big and strong.	Ziri was really big.	Ziri had a big place.
Ziri can harm you.	Ziri is in danger.	Ziri needs some help.	Ziri has work to do.
We'll take a vote.	We'll be voting today.	It's too late to vote now. The polls are closed!	Aren't you going to vote today?
Now what do we do?	What should we do now?	What should be our next step?	How should we proceed?
We missed our bus.	We missed our train.	I've missed my train.	We have missed our train.
Pick up the knife.	Put the knife on the table.	Tom put the knife on the table.	Tom was setting the table.
Pick up the phone.	Answer the damn phone!	The phone is ringing!	Is the phone ringing?
We're really late.	We're a little late.	You're somewhat late.	I was a little late.
Put on some music.	Listen to the music.	Settle down comfortably and listen.	Sit back and listen.
Put that one back.	Put that back where you found it.	Where the hell did I put it?	Where did I put that thingie?
Ziri left at four.	Ziri suddenly left.	Ziri dropped out of sight.	Ziri became invisible.
Just take it slow.	You may want to slow down.	I need to move slowly.	I can't move any faster.
Will you allow me?	Will you allow me to go with you?	Are you going to go with me?	Do you want me to go with you?
I bought the book.	I bought this book yesterday.	I bought this book yesterday and finished reading it last night.	I bought this book the other day.
Her head was gray.	Her hair is streaked with gray.	My grandmother has gray hair.	My grandfather has grey hair.
Our money ran out.	We exhausted our funds.	We've run short of money.	We're out of money.
Her head was grey.	Her hair has gone grey.	My grandmother has grey hair.	Her hair is turning gray.
Let's play soccer.	Do you want to play soccer with us?	Would you and your friends like to play basketball with us?	Don't you want to play volleyball with us?
She never married.	She didn't get married.	She got married last year.	She got married yesterday.
I enclose a photo.	I framed the picture.	He put the photo back in the frame.	He framed the picture he had bought on the street.
Mary seemed upset.	Mary was very upset.	Mary said that she was very unhappy.	Mary said she was very upset.
Who's your master?	Observe the master.	Bow before me, for I am your master!	I compel you to adhere to our master's teachings.
The snow sparkled.	The moonlight reflected off the snowflakes.	The moonlight is beautiful.	The moonlight is weak.
You're drunk, Tom.	Tom's obviously drunk.	Tom seems to be drunk.	Tom is obviously quite drunk.
Use the small one.	My sister always chooses the bigger one.	My sister is taller than my brother.	My sister is older than my brother.
Wait there for me.	Please wait for me.	Please don't wait for me.	Please wait for us.
Was there a fight?	A fought broke out.	Who started the fight?	They were fighting.
Was Tom an addict?	Tom was once a drug addict.	Tom is addicted to drugs.	Tom used to be a drug addict.
This meat is good.	The meat looks good.	This is a beautiful piece of meat.	The meat is well done.
We are very drunk.	Both Tom and I are drunk.	I got drunk with Tom last night.	Tom got me drunk last night.
Sami used the app.	Sami downloaded a new app.	Sami downloaded the game.	Sami was playing that new game.
They went on deck.	They put their jackets on and went out.	They got up to put on their jackets.	They put their jackets on.
He's not worth it.	It's just not worth it.	It isn't worth the pain.	It isn't worth the headache.
Rima did her hair.	Rima does her hair in the salon.	Rima put makeup on.	Rima is a cosmetician.
What has Tom said?	What does Tom have to say?	What does Tom think?	How do you think Tom feels?
What has Tom seen?	What was it Tom wanted to see?	What did Tom come here for?	Why did Tom come here?
What made you sad?	What makes you sad?	What's getting you down?	What's bothering you?
Ziri was insulted.	Ziri was getting irritated.	Ziri was disturbed.	Ziri started to freak out.
Can you give back?	I'm giving it back.	I have to give it back tonight.	I'll give it back next Monday without fail.
Is she a feminist?	Are you a feminist?	Are you conservative?	I am very conservative.
Raisa is adorable.	She is an adorable woman.	She is the sweetest.	She is a nice person.
This one is Tom's.	It's Tom's, isn't it?	I don't think that that's Tom's.	That's not one of Tom's, is it?
Learn how to cook!	Cooking takes up too much time.	I cook, but I don't do that with much pleasure.	Cooking takes too much time.
The sand was warm.	She scooped up a handful of the warm sand.	Mary buried her toes in the warm sand.	Mary bent down and touched her toes.
This one is empty.	All these boxes are empty.	The box he found was empty.	We found all the boxes empty.
Who's helping Tom?	Who's gong to help Tom?	Tom will help whoever asks him to help.	Tom is going to want to help.
Who swam with Tom?	Who was that who was swimming with Tom?	Who's that with Tom?	Who's that talking to Tom?
When did Tom swim?	Who was Tom swimming with?	Where did Tom swim yesterday?	Who was Tom planning to go swimming with?
We didn't ask Tom.	I never asked Tom.	I never would have asked Tom that question.	I never would've asked Tom to do that.
Was Tom in Boston?	Was Tom in Boston last week?	Tom was in Boston last week.	Tom was in Boston last Monday.
I'm sorry for you.	I feel sorry for you.	Don't you dare feel sorry for me.	I don't feel sorry for you.
Was Tom a teacher?	Tom worked as a teacher.	Tom is a schoolteacher.	Tom was a schoolteacher.
This hat is Tom's.	This isn't Tom's hat, is it?	Is that the hat Tom gave you?	That's not your hat, is it?
This is all wrong.	That was all wrong.	I think it was wrong.	I thought it was fine.
This dog is Tom's.	Which dog is Tom's?	I don't know Tom's dog's name.	Do you know Tom's dog's name?
That car is Tom's.	Isn't that Tom's car?	This is Tom's car, I think.	That probably is Tom's car.
Only Tom did that.	Tom also did that.	Didn't Tom do that?	I don't remember if Tom did that or not.
Maybe Tom is sick.	Maybe Tom is sick in bed.	Maybe Tom is in the hospital.	Tom may be sick in bed.
Here is your bill.	Could you give me the bill, please?	Can you bring the bill, please? We are in a hurry.	Can I have the bill, please?
Is Tom afraid yet?	Do you think Tom is afraid?	Tom is scared, isn't he?	Do you really think Tom is afraid?
I've seen Tom cry.	I've never seen Tom cry before.	I didn't know that Tom was crying.	I didn't know the reason why Tom was crying.
I want to hug Tom.	I want to kiss Tom.	I might kiss Tom today.	I've never kissed Tom, but I'd like to.
I think Tom is up.	Tom will probably be up.	Tom is likely to still be up, isn't he?	Tom is probably going to be up.
I sold Tom my car.	We just sold Tom our car.	Tom had to sell his car.	Tom wanted to sell his car.
I saw Tom do that.	I saw Tom do that last week.	I saw Tom doing that just this morning.	Tom was doing that just this morning.
Now, said Mr Wood.	We appointed Mr Wood chairman.	Tom was elected chairman of the committee.	Tom is the chairman of the committee.
I had Tom do that.	I made Tom do that.	I think I convinced Tom to do that.	I persuaded Tom to do that.
I do that for Tom.	I did that for Tom for quite a few years.	I remember doing that with Tom.	Tom used to do it all the time.
I didn't stop Tom.	I could have stopped Tom, but I didn't.	I tried to stop Tom.	I should've tried harder to stop Tom.
I didn't hear Tom.	I couldn't hear Tom.	Tom couldn't hear what was going on.	Tom couldn't hear anybody.
Has Tom done that?	I wonder if Tom has done that.	I wonder whether Tom has done that already.	I wonder whether Tom has done that yet.
Did Tom sing well?	Does Tom like to sing?	Tom likes to sing.	Tom thinks he can sing.
This one is clean.	It's as clean as a whistle.	It's as clear as mud.	That's as clear as mud.
Go ahead, tell me.	I think you may as well tell me.	I don't mind telling you.	I don't think I need to tell you.
We have hard jobs.	We must work hard.	We've got to work harder.	We really need to work harder.
We waited for you.	They were waiting for us.	We were all waiting for you.	They were waiting for him.
Ziri hit the door.	Ziri knocked on that door.	Ziri came into the house.	Ziri entered the house.
Are humans mortal?	All human beings have been, are, and always will be mortal.	No one of us is immortal.	A person's soul is immortal.
Ziri is not alive.	Ziri wasn't around.	There wasn't much Ziri could do.	Ziri didn't really do much.
Can you take over?	Do you want me to take over?	Can you take over here?	I need you to take over.
Clean up a little.	Clean up after you're done.	Keep the toilet clean.	Whatever you do don't leave the lid up on the toilet!
Did Tom say where?	Where did Tom say that happened?	Did Tom say what happened exactly?	What did Tom say about what happened?
Did you get a job?	Have you found a job?	I've found a good job.	I've found you a job.
Tom was impatient.	Tom became impatient.	Tom is getting impatient.	Tom is getting a little impatient.
This cake is good.	This cake is really delicious.	Your cake is delicious.	This cake is delicious.
Somebody has died.	An old person died last week.	She died last week.	She died a few years ago.
I hate everything!	I hate everything about you.	I hate you with all of my heart.	I hate all of you.
What a shame, Tom!	You let me down, Tom.	I let Tom down when he needed me most.	Tom thought I'd let him down.
